,25,50,100,150,217
Random Forest,0.7425403619939714,0.7407483707988922,0.7516982634502805,0.7452621109239569,0.765978394808182
XGBoost,0.7506864420409312,0.7557742377948617,0.7866009230233368,0.7893346531046048,0.7909861562094487
SVM,0.6773294963939396,0.7080940246194483,0.7335447533486198,0.7082455583982702,0.7032765952369296
