Compound_CID,Carcinogenicity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
11,2,5.054012345679012,5.054012345679012,0.5570987654320989,0.5570987654320989,0.4363042365257152,7.5,98.96000000000001,94.928,97.969005488,26,0,0.035889203448099614,-0.12542343074881615,0.12542343074881615,0.035889203448099614,1.0,1.25,1.25,35.49855801733687,10.97023492456834,1.6127040840331655,-1.6285173297622821,1.745902114921952,-1.6333332020997315,6.254551773714507,1.5224887609926128,1.370950594454669,1.9747448713915894,6.0,3.414213562373095,2.1701425083915495,3.682000400428458,1.914213562373095,1.0345224838248486,2.1035674514745457,0.3779644730092271,1.1338934190276815,0.07142857142857141,0.6428571428571428,0.0,0.0,0.58,6.854752972273345,4.58,3.5799999999999996,2.58,35.71072559598951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,11.760006889940678,0.0,0.0,23.20187978046503,0.0,0.0,0.0,0.0,11.760006889940678,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,11.760006889940678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.760006889940678,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,10.108024691358024,0.0,0.0,0.0,1.1141975308641978,0.0,0.0,0.0,0.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4.0991,0,1.464,21.439999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2,8.805555555555555,8.805555555555555,0.75,0.75,0.35500761339323206,4.333333333333333,44.053,40.021,44.026214748,18,0,0.1164052831422626,-0.30371526986366926,0.30371526986366926,0.1164052831422626,2.0,2.0,2.0,16.12814585089842,10.960294041682554,1.2409923070832758,-1.2348845535859683,1.1286964310315497,-1.3580303671411733,5.439544344589547,-0.10561046336263406,0.9182958340544894,2.1874960973678963,10.264662506490405,2.7071067811865475,1.9855985596534889,1.9855985596534889,1.4142135623730951,0.8130525295851417,0.8130525295851417,0.2357022603955159,0.2357022603955159,0.0,0.0,0.0,0.0,-0.33,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.265715242269923,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,6.286160523129555,6.923737199690624,0.0,0.0,0.0,4.794537184071822,0.0,0.0,8.805555555555555,0.0,0.0,0.0,0.0,0.75,1.4444444444444444,0.0,0.5,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.4862999999999997,0,0.2052,11.738000000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2,9.222222222222221,9.222222222222221,0.33333333333333304,-0.33333333333333304,0.40103092275538377,6.25,59.068,54.028,59.03711378,24,0,0.21379017959217533,-0.36992058791265336,0.36992058791265336,0.21379017959217533,2.0,2.0,2.0,16.14529929075639,10.787745135300659,1.611286313478797,-1.5972245549841224,1.3299202640290744,-2.013690032290488,5.698924303380397,-0.11547170968273979,0.8112781244591328,2.8030394876740514,29.019550008653873,3.5773502691896257,2.485598559653489,2.485598559653489,1.7320508075688772,0.9927992798267444,0.9927992798267444,0.6106504100245024,0.6106504100245024,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.605605939282636,5.733667477162185,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,4.794537184071822,5.907179729351506,0.0,0.0,5.733667477162185,6.923737199690624,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,43.09,0.0,4.794537184071822,0.0,5.907179729351506,0.0,0.0,6.923737199690624,0.0,0.0,5.733667477162185,0.0,0.0,0.0,9.222222222222221,0.0,4.472222222222222,-0.33333333333333304,0.0,0.0,1.3055555555555556,0.0,0.5,4,2,2,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.7589395748987852,0,-0.5084,14.868400000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,3,10.341759259259259,10.341759259259259,0.15509259259259278,-0.9878703703703702,0.566589187245288,9.2,137.13799999999995,130.08199999999997,137.047678464,52,0,0.3372896338780637,-0.47758357149944064,0.47758357149944064,0.3372896338780637,1.4,2.0,2.4,16.365650416544106,10.170814858091957,2.0330612795084853,-1.9590132614162732,2.0846799415225505,-2.0031271359781617,5.928652180262689,0.069783277562262,1.8787445285930133,3.1529414466808685,257.53794892648057,7.5604779323150675,5.2422132319119505,5.2422132319119505,4.71521405516327,2.79375634676635,2.79375634676635,1.89240301305786,1.89240301305786,1.1911985029511445,1.1911985029511445,0.6917722459608008,0.6917722459608008,-1.51,182.2382192735223,6.607785630153122,2.389632707443791,1.0748936229840518,58.091991783146064,10.84019487200289,0.0,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,12.13273413692322,12.13273413692322,5.687386274683562,5.563451491696996,9.901064578912528,11.656691562635412,0.0,0.0,0.0,0.0,5.733667477162185,29.828919765543436,0.0,0.0,5.733667477162185,5.687386274683562,0.0,0.0,11.075832682792555,0.0,0.0,10.357988675768818,24.26546827384644,0.0,0.0,0.0,63.31999999999999,5.969305287951849,4.794537184071822,0.0,5.563451491696996,5.687386274683562,0.0,6.06636706846161,18.19910120538483,0.0,0.0,10.84019487200289,0.0,0.0,10.341759259259259,8.485648148148147,5.796666666666667,-0.9878703703703702,6.363796296296297,0.0,0.0,0.0,0.0,10,3,3,0,0,0,0,1,0,1,0,0,2,2,3,0,1,0,0,0,0,0,1.579018066559098,1,0.9669999999999999,37.8137,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,2.0,2.0,2.0,2.0,0.4426283718993647,8.0,78.11399999999999,72.06599999999999,78.046950192,30,0,-0.062268570782092456,-0.062268570782092456,0.062268570782092456,0.062268570782092456,0.3333333333333333,0.5,0.6666666666666666,13.646993161855445,10.379006838144555,1.5737245910733615,-1.6942617326375462,1.794093161855452,-1.4738931618554547,4.985993161855452,1.718006838144549,1.719973094021975,3.000000000000001,71.96100505779535,4.242640687119286,3.464101615137755,3.464101615137755,3.0,2.0000000000000004,2.0000000000000004,1.1547005383792521,1.1547005383792521,0.6666666666666671,0.6666666666666671,0.38490017945975075,0.38490017945975075,-0.78,34.3994618804395,3.4115708812260532,1.6057694396735218,0.5823992601400448,37.43140311949697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9130327103921437,1,1.6866,26.441999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,2,8.66925925925926,8.66925925925926,0.07638888888888862,-0.07638888888888862,0.49072766890152064,9.0,110.11199999999997,104.06399999999998,110.036779432,42,0,0.15688318072542773,-0.5042601246702529,0.5042601246702529,0.15688318072542773,0.875,1.25,1.5,16.302830100913635,10.313164061008466,1.8978964788777553,-1.9063627889389634,2.207958039037639,-1.6263455095172539,5.3560785271823095,0.40354324049410345,1.7681772153059907,3.1348615113454477,162.63833891467198,5.983127663125442,4.20382826775842,4.20382826775842,3.8045304526403108,2.274563864689584,2.274563864689584,1.4887143348850373,1.4887143348850373,0.8817318442145531,0.8817318442145531,0.4641630966733666,0.4641630966733666,-1.18,72.49526582754562,4.966627565982405,1.7381205361963379,0.7293748574130688,47.01987062388899,10.213054789681411,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,12.13273413692322,0.0,0.0,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,24.26546827384644,0.0,11.49902366656781,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,0.0,0.0,24.26546827384644,0.0,0.0,0.0,40.46,0.0,0.0,0.0,11.49902366656781,0.0,0.0,12.13273413692322,12.13273413692322,0.0,0.0,10.213054789681411,0.0,0.0,0.0,17.33851851851852,0.0,-0.15277777777777724,6.147592592592593,0.0,0.0,0.0,0.0,8,2,2,0,0,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,1.0790746710091061,1,1.0977999999999994,29.771599999999992,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,2,12.770074326026709,12.770074326026709,0.6900771604938265,-1.9369135802469142,0.45322305695005977,80.95238095238095,490.6389999999999,490.6389999999999,485.68344142,116,0,0.18190840106228157,-0.2954114456278181,0.2954114456278181,0.18190840106228157,0.47619047619047616,0.7142857142857143,0.9523809523809523,35.5407659896952,9.412682044899277,3.3037391771613804,-2.804031733720416,3.093377914307789,-3.033245290460705,6.829951937987601,-0.12204142334826534,2.643499808838409,2.0846484126260205,630.626975453629,16.077350269189626,9.187893020556132,16.747182480740683,9.15470053837925,5.593946510278066,9.373591240370342,6.171304027725098,12.03423522128284,6.23804489477296,15.305886393855,5.638348372554073,14.042511112912623,2.57,38700.83720139431,15.796074322110016,2.959215881519419,0.6356700798898125,168.18875865861338,0.0,29.245033748646655,19.864943642732598,0.0,0.0,0.0,4.794537184071822,0.0,0.0,92.80751912186011,23.20187978046503,0.0,0.0,0.0,4.794537184071822,121.79264384869008,0.0,0.0,0.0,43.326732445014315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.00939890232513,49.10997739137926,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,17.07,49.10997739137926,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.00939890232513,-1.9369135802469142,65.66825900730662,-2.013490488788105,0.0,0.0,-0.6900771604938265,0.0,0.0,0.0,0.0,0.9,21,0,1,6,0,6,0,0,0,0,4,4,1,0,11,0,0,6,0,6,0,4,2.2259044761737643,6,4.618199999999999,88.11599999999999,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,3,0.0,0.0,0.0,0.0,0.3651643237938947,0.0,36.461000000000006,35.453,35.976677712,8,0,-0.14658906651455728,-0.14658906651455728,0.14658906651455728,0.14658906651455728,1.0,1.0,1.0,35.453,35.453,-0.14658906651455728,-0.14658906651455728,0.6895,0.6895,5.853,5.853,0.0,0.0,0.0,0.0,0.4082482904638631,1.224744871391589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,1.2900000000000005,1.7382758620689658,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.242375862068967,0,0.4218,7.247999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,3,10.716763038548752,10.716763038548752,0.3021296296296294,-0.3021296296296294,0.5302216682110639,10.181818181818182,146.14499999999995,140.09699999999998,146.036779432,54,0,0.33569031616433825,-0.4227294736611369,0.4227294736611369,0.33569031616433825,1.0,1.8181818181818181,2.727272727272727,16.391861403051667,10.226050366187643,1.9156250367947965,-1.9089597537978256,2.084059962520825,-1.9285478309719235,5.75185371703421,0.5608287894433627,2.0412258289597847,2.935350797972025,428.5108208761056,7.68179827587471,5.7805981960654815,5.7805981960654815,5.360173345306137,3.35040630740838,3.35040630740838,2.2922570838438427,2.2922570838438427,1.5285353991729589,1.5285353991729589,1.0113830342838965,1.0113830342838965,-1.5699999999999998,487.8529731213885,6.160248407637458,2.234974333040861,1.02612164813026,63.07940657528498,4.417150937053347,5.583020141642242,0.0,0.0,0.0,5.625586319077987,0.0,4.794537184071822,0.0,0.0,18.19910120538483,12.13273413692322,11.452591282926406,0.0,4.417150937053347,10.969244356107037,0.0,0.0,0.0,0.0,0.0,46.81832591391947,0.0,0.0,5.625586319077987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.609890531894834,0.0,10.969244356107037,0.0,30.21,0.0,4.794537184071822,0.0,5.625586319077987,5.583020141642242,5.386224214464796,6.06636706846161,12.13273413692322,18.19910120538483,0.0,4.417150937053347,4.906064814814815,0.0,10.716763038548752,0.9510185185185187,0.33675925925925965,0.0,10.589394368858652,0.0,0.0,0.0,0.0,11,0,2,0,0,0,0,1,1,2,0,0,2,0,2,1,0,0,0,0,0,0,1.2516360978386867,2,1.7929999999999997,42.484000000000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,2,9.50462962962963,9.50462962962963,0.33333333333333304,-0.42592592592592626,0.34977528926550533,9.166666666666666,89.094,82.038,89.047678464,36,0,0.20717591219263307,-0.26428222998398154,0.26428222998398154,0.20717591219263307,1.6666666666666667,1.8333333333333333,1.8333333333333333,16.62973311300005,10.437988273604425,1.988217321620082,-1.879665756736437,1.793873200829353,-2.0769865503163234,4.281171602633546,-0.5129291714215798,1.3609640474436813,3.2575861612334887,59.813537528125096,5.1547005383792515,3.84106044561731,3.84106044561731,2.6427344100918364,1.7780477997965236,1.7780477997965236,1.379102158611833,1.379102158611833,0.421637021355784,0.421637021355784,0.0,0.0,-0.6000000000000001,13.609640474436812,5.4,1.7443072702331963,1.6941176470588244,36.12211097912257,0.0,0.0,0.0,6.041840829147961,0.0,0.0,10.114318268765572,0.0,0.0,0.0,0.0,0.0,18.770785448198918,0.0,4.923311048817671,0.0,0.0,0.0,0.0,19.88931522852921,0.0,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,10.965151877965631,0.0,10.114318268765572,13.847474399381248,0.0,0.0,0.0,0.0,43.14,6.041840829147961,10.114318268765572,0.0,4.923311048817671,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,9.171296296296298,9.50462962962963,0.0,0.0,-0.42592592592592626,0.0,3.0833333333333335,0.0,1.0,6,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,1.569876543209877,0,0.6715,22.130399999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
